category,first_action,pair_index,path_length,raw_tokens,source,stage2_count,step,stop_reached,target,target_index,tokens
SUCCESS,28,0,8,12 28 37 47 50 52 61 67,12,4,16000,1,67,7,12 28 37 47 50 52 61 67
MISSING_TARGET,,1,1,9,9,0,16000,1,60,,9
INVALID_EDGE,13,2,6,6 13 27 35 40 88,6,2,16000,1,88,5,6 13 27 35 40 88
INVALID_EDGE,35,3,13,11 35 40 48 57 59 64 65 68 80 69 76 87,11,5,16000,1,68,8,11 35 40 48 57 59 64 65 68 80 69 76 87
MISSING_TARGET,,4,1,21,21,0,16000,1,75,,21
INVALID_EDGE,16,5,25,1 16 28 37 47 50 52 61 67 51 61 64 67 66 47 66 67 71 40 42 48 54 42 76 87,1,11,16000,1,67,8,1 16 28 37 47 50 52 61 67 51 61 64 67 66 47 66 67 71 40 42 48 54 42 76 87
MISSING_TARGET,,6,1,23,23,0,16000,1,74,,23
MISSING_TARGET,25,7,2,19 25,19,0,16000,1,87,,19 25
MISSING_TARGET,13,8,2,5 13,5,0,16000,1,64,,5 13
SUCCESS,28,9,8,26 28 37 47 57 66 67 71,26,3,16000,1,71,7,26 28 37 47 57 66 67 71
SUCCESS,28,10,7,25 28 37 41 47 57 70,25,4,16000,1,70,6,25 28 37 41 47 57 70
SRC_MISMATCH_INVALID_EDGE,23,11,7,23 35 40 48 62 69,17,3,16000,1,69,6,17 23 35 40 48 62 69
SUCCESS,31,12,9,20 31 37 47 57 60 64 67 71,20,4,16000,1,71,8,20 31 37 47 57 60 64 67 71
SUCCESS,35,13,7,0 35 40 48 57 60 69,0,4,16000,1,69,6,0 35 40 48 57 60 69
SRC_MISMATCH,28,14,5,28 37 47 65,26,2,16000,1,65,4,26 28 37 47 65
MISSING_TARGET,13,15,5,2 13 27 35 40,2,2,16000,1,66,,2 13 27 35 40
SUCCESS,28,16,8,26 28 37 47 57 59 64 74,26,4,16000,1,74,7,26 28 37 47 57 59 64 74
INVALID_EDGE,37,17,6,23 37 10 78 80 89,23,1,16000,1,89,5,23 37 10 78 80 89
INVALID_EDGE,13,18,8,7 13 27 35 40 48 23 88,7,3,16000,1,84,,7 13 27 35 40 48 23 88
SUCCESS,31,19,7,20 31 41 51 61 67 80,20,3,16000,1,80,6,20 31 41 51 61 67 80
SUCCESS,18,20,8,14 18 32 47 65 67 71 79,14,2,16000,1,79,7,14 18 32 47 65 67 71 79
SUCCESS,28,21,6,26 28 37 47 56 61,26,3,16000,1,61,5,26 28 37 47 56 61
SUCCESS,37,22,8,18 37 47 65 67 80 81 85,18,2,16000,1,85,7,18 37 47 65 67 80 81 85
SUCCESS,35,23,6,22 35 40 48 57 70,22,4,16000,1,70,5,22 35 40 48 57 70
SUCCESS,29,24,9,4 29 37 47 57 60 64 65 68,4,3,16000,1,68,8,4 29 37 47 57 60 64 65 68
SUCCESS,31,25,8,20 31 37 47 65 67 80 83,20,3,16000,1,83,7,20 31 37 47 65 67 80 83
SUCCESS,37,26,8,28 37 47 57 60 64 67 71,28,3,16000,1,71,7,28 37 47 57 60 64 67 71
SUCCESS,35,27,8,27 35 40 48 50 65 67 78,27,4,16000,1,78,7,27 35 40 48 50 65 67 78
SUCCESS,28,28,10,16 28 37 47 57 59 64 67 80 82,16,4,16000,1,82,9,16 28 37 47 57 59 64 67 80 82
SUCCESS,35,29,7,29 35 40 48 57 59 78,29,5,16000,1,78,6,29 35 40 48 57 59 78
MISSING_TARGET,13,30,4,2 13 27 35,2,1,16000,1,83,,2 13 27 35
SUCCESS,23,31,9,10 23 37 47 57 59 64 67 78,10,4,16000,1,78,8,10 23 37 47 57 59 64 67 78
