pair_index,prob_bridge_after_src,prob_continue_after_target,prob_eos_after_bridge,prob_eos_after_prompt,prob_eos_after_src,prob_eos_after_target,prob_src_repeat,prob_target_after_bridge,prob_target_direct_after_src,source,step,target
0,0.00023939457605592906,2.562999725341797e-05,0.010035866871476173,1.0753304496846638e-10,0.08164890855550766,0.9999743700027466,0.9984803795814514,6.478765135398135e-05,1.8472960618964862e-06,12,14000,67
1,0.01896701566874981,0.0,4.3917534640058875e-05,1.2163725138236714e-08,0.9772322773933411,1.0,0.9359219670295715,0.9924739003181458,1.214875045008057e-08,9,14000,60
2,0.00013709221093449742,7.152557373046875e-07,0.8605371117591858,1.0690959229009422e-09,0.00490817055106163,0.9999992847442627,0.9987987279891968,0.00012427462206687778,1.0331464181945194e-05,6,14000,88
3,0.2799948751926422,2.2649765014648438e-06,0.04650091752409935,8.663003092657107e-10,8.109291229629889e-06,0.9999977350234985,0.9980672001838684,0.0010212655179202557,7.709217584306316e-07,11,14000,68
4,0.005245286971330643,3.5762786865234375e-07,0.0026289212983101606,7.158301729148775e-11,0.06072555109858513,0.9999996423721313,0.998651921749115,0.047123175114393234,9.003672857943457e-06,21,14000,75
5,0.0013170016463845968,1.7881393432617188e-05,1.0811201178739793e-07,1.4062248032686853e-09,0.0008657935541123152,0.9999821186065674,0.9980120658874512,0.00010425740765640512,2.906694192006398e-07,1,14000,67
6,0.6323673725128174,1.6689300537109375e-06,0.9982773065567017,6.8967791477803075e-09,0.2940371036529541,0.9999983310699463,0.9930455088615417,2.6575316169896723e-08,2.7825337383546866e-05,23,14000,74
7,0.0655675008893013,1.1920928955078125e-07,5.0239961524312093e-08,7.567134141517329e-10,0.2556411325931549,0.9999998807907104,0.9999070167541504,0.00010219482646789402,2.1328325601643883e-05,19,14000,87
8,0.0006361819105222821,0.0,0.016956793144345284,7.140658730975247e-09,0.4993843734264374,1.0,0.9750804305076599,8.462764526484534e-05,2.396938327819953e-07,5,14000,64
9,0.00022551411530002952,3.5762786865234375e-07,4.104432491658372e-07,3.209771364254266e-07,0.9330302476882935,0.9999996423721313,0.7373571991920471,0.001489744521677494,1.1219955808883242e-07,26,14000,71
