category,first_action,pair_index,path_length,raw_tokens,source,stage2_count,step,stop_reached,target,target_index,tokens
SRC_MISMATCH_INVALID_EDGE,82,0,2,82,12,0,4000,1,67,,12 82
SRC_MISMATCH_INVALID_EDGE,17,1,7,17 19 56 73 53 63,9,2,4000,1,60,,9 17 19 56 73 53 63
SRC_MISMATCH_INVALID_EDGE,41,2,3,41 49,6,2,4000,1,88,,6 41 49
SRC_MISMATCH_NO_TARGET,29,3,2,29,11,0,4000,1,68,,11 29
SRC_MISMATCH_INVALID_EDGE,49,4,33,49 56 73 26 28 78 30 58 60 73 53 60 73 69 49 60 63 66 72 78 80 81 70 81 70 81 70 81 85 50 80 81,21,7,4000,0,75,,21 49 56 73 26 28 78 30 58 60 73 53 60 73 69 49 60 63 66 72 78 80 81 70 81 70 81 70 81 85 50 80 81
SRC_MISMATCH_INVALID_EDGE,25,5,14,25 43 61 64 76 59 66 79 36 41 59 78 79,1,5,4000,1,67,,1 25 43 61 64 76 59 66 79 36 41 59 78 79
SRC_MISMATCH_INVALID_EDGE,48,6,33,48 63 12 18 33 57 60 68 51 55 60 64 65 68 64 65 68 76 82 62 81 56 57 64 65 76 80 81 85 50 76 80,23,8,4000,0,74,,23 48 63 12 18 33 57 60 68 51 55 60 64 65 68 64 65 68 76 82 62 81 56 57 64 65 76 80 81 85 50 76 80
SRC_MISMATCH_INVALID_EDGE,45,7,33,45 71 87 87 46 70 81 70 81 87 80 82 87 61 64 80 81 87 80 82 62 68 76 80 81 87 68 80 68 80 81 80,19,2,4000,0,87,3,19 45 71 87 87 46 70 81 70 81 87 80 82 87 61 64 80 81 87 80 82 62 68 76 80 81 87 68 80 68 80 81 80
SRC_MISMATCH_INVALID_EDGE,19,8,33,19 44 83 44 64 67 70 48 50 65 67 63 54 80 81 62 65 68 80 81 62 65 68 80 81 70 81 70 81 80 81 68,5,5,4000,0,64,5,5 19 44 83 44 64 67 70 48 50 65 67 63 54 80 81 62 65 68 80 81 62 65 68 80 81 70 81 70 81 80 81 68
SRC_MISMATCH_INVALID_EDGE,78,9,30,78 51 68 62 66 74 64 53 74 75 38 43 61 75 32 38 43 47 56 73 76 46 47 56 61 64 65 76 82,26,12,4000,1,71,,26 78 51 68 62 66 74 64 53 74 75 38 43 61 75 32 38 43 47 56 73 76 46 47 56 61 64 65 76 82
SRC_MISMATCH_INVALID_EDGE,40,10,33,40 50 70 83 34 41 70 80 83 21 28 39 43 74 83 5 25 26 34 39 58 52 60 64 80 83 22 35 51 55 76 80,25,13,4000,0,70,3,25 40 50 70 83 34 41 70 80 83 21 28 39 43 74 83 5 25 26 34 39 58 52 60 64 80 83 22 35 51 55 76 80
SRC_MISMATCH_INVALID_EDGE,40,11,27,40 45 53 69 29 35 46 47 69 60 69 26 28 40 43 49 52 60 73 54 58 60 63 66 70 70,17,12,4000,1,69,4,17 40 45 53 69 29 35 46 47 69 60 69 26 28 40 43 49 52 60 73 54 58 60 63 66 70 70
SRC_MISMATCH_INVALID_EDGE,31,12,33,31 68 71 71 49 63 23 29 36 62 41 52 60 33 43 47 50 52 60 34 46 47 50 52 60 63 39 43 47 50 52 60,20,20,4000,0,71,3,20 31 68 71 71 49 63 23 29 36 62 41 52 60 33 43 47 50 52 60 34 46 47 50 52 60 63 39 43 47 50 52 60
