chance_level,pair_index,prob_bridge_given_valid,prob_causal_given_bridge,prob_valid,source,step,support_bridge,support_causal,support_valid,target
0.2,0,0.23213681534933725,1.0,0.7835937738418579,12,18000,5,5,12,67
0.1111111111111111,1,0.4064555900661958,1.0,0.8113135695457458,9,18000,9,9,16,60
0.16666666666666666,2,0.1305930709482938,1.0,0.6809794902801514,6,18000,6,6,15,88
0.1,3,0.38227516479903967,1.0,0.8848068118095398,11,18000,10,10,17,68
0.14285714285714285,4,0.3909734124549178,1.0,0.615369975566864,21,18000,7,7,10,75
0.14285714285714285,5,0.13693490447909723,1.0,0.8597320914268494,1,18000,7,7,17,67
0.25,6,0.47546954794226326,1.0,0.7895222306251526,23,18000,4,4,8,74
0.1,7,0.7236922558320065,1.0,0.8027634024620056,19,18000,10,10,12,87
0.2,8,0.0680251668440573,1.0,0.8162751197814941,5,18000,5,5,13,64
0.14285714285714285,9,0.7725876174060433,1.0,0.7027426958084106,26,18000,7,7,8,71
0.125,10,0.7406148134048293,0.990255754055539,0.8817882537841797,25,18000,8,6,10,70
0.16666666666666666,11,0.1928812577818129,1.0,0.8537927269935608,17,18000,6,6,10,69
0.1111111111111111,12,0.9085642968310295,1.0,0.6442082524299622,20,18000,9,9,11,71
0.1,13,0.37778190428320546,1.0,0.7970065474510193,0,18000,10,10,23,69
0.14285714285714285,14,0.7804241706780556,1.0,0.7593246102333069,26,18000,7,7,8,65
0.07692307692307693,15,0.3284436653030945,1.0,0.8849229216575623,2,18000,13,13,21,66
0.14285714285714285,16,0.8541615081234614,1.0,0.6826813220977783,26,18000,7,7,8,74
0.25,17,0.4183624824968705,1.0,0.7018043398857117,23,18000,4,4,8,89
0.125,18,0.2489084312933343,1.0,0.8272456526756287,7,18000,8,8,15,84
0.1111111111111111,19,0.7375944556378788,1.0,0.49792858958244324,20,18000,9,9,11,80
0.1,20,0.8373222081810784,1.0,0.5882625579833984,14,18000,10,10,12,79
0.14285714285714285,21,0.5095803067984134,0.9674767658354011,0.8270750641822815,26,18000,7,5,8,61
0.07692307692307693,22,0.8417518280258829,1.0,0.7431156039237976,18,18000,13,13,14,85
0.08333333333333333,23,0.8600188965934055,0.997479570374386,0.8412393927574158,22,18000,12,10,13,70
0.1111111111111111,24,0.30200935034429166,1.0,0.8258031010627747,4,18000,9,9,17,68
0.1111111111111111,25,0.6102691325709338,1.0,0.6211531758308411,20,18000,9,9,11,83
0.1,26,1.0,1.0,0.7858296036720276,28,18000,10,10,10,71
0.1,27,0.6744330807037344,1.0,0.8200458884239197,27,18000,10,10,11,78
0.1111111111111111,28,0.5763960836032723,1.0,0.8144128322601318,16,18000,9,9,12,82
0.14285714285714285,29,1.0,1.0,0.7871930003166199,29,18000,7,7,7,78
0.07692307692307693,30,0.4910020433271575,1.0,0.6304887533187866,2,18000,13,13,21,83
0.14285714285714285,31,0.6488464625279385,1.0,0.7140027284622192,10,18000,7,7,14,78
0.1,32,0.6326180272896545,1.0,0.831330418586731,19,18000,10,10,12,85
0.1,33,0.6121000543415615,0.9995741688028686,0.7601183652877808,14,18000,10,9,12,69
0.07692307692307693,34,0.8300498555322239,1.0,0.8330214619636536,18,18000,13,13,14,68
0.1,35,0.4389492073706061,1.0,0.7921574115753174,0,18000,10,10,23,75
0.1111111111111111,36,0.6802784279256772,1.0,0.7732070684432983,24,18000,9,9,10,66
0.16666666666666666,37,0.30155428069280976,1.0,0.84079909324646,13,18000,6,6,11,83
0.14285714285714285,38,0.5415111863940185,1.0,0.7500084638595581,10,18000,7,7,14,71
0.1111111111111111,39,0.40556073970060447,1.0,0.8009916543960571,9,18000,9,9,16,84
0.1,40,0.6879065423800794,1.0,0.7702345848083496,19,18000,10,10,12,72
0.1,41,0.2015401433213967,1.0,0.9041086435317993,11,18000,10,10,17,61
0.1,42,0.48431917996652246,1.0,0.719296932220459,3,18000,10,10,18,82
0.1111111111111111,43,0.28998880073632666,1.0,0.6811342835426331,4,18000,9,9,17,86
0.1111111111111111,44,0.5399953414329725,0.9930881605296593,0.849563479423523,16,18000,9,7,12,70
0.2,45,0.30325606847579106,1.0,0.7295054197311401,12,18000,5,5,12,77
0.1111111111111111,46,0.5652827494887781,1.0,0.8286230564117432,16,18000,9,9,12,81
0.1111111111111111,47,0.26005093672771507,1.0,0.5903275012969971,4,18000,9,9,17,87
0.1,48,1.0,1.0,0.5721212029457092,28,18000,10,10,10,78
0.14285714285714285,49,0.20810996083686523,1.0,0.779805600643158,21,18000,7,7,10,63
0.1111111111111111,50,0.598773867691629,1.0,0.7890200614929199,24,18000,9,9,10,64
0.14285714285714285,51,0.2835370071523137,1.0,0.7608592510223389,1,18000,7,7,17,79
0.16666666666666666,52,0.2421443828524983,1.0,0.8002840876579285,8,18000,6,6,12,60
0.07692307692307693,53,0.9787176615848838,1.0,0.7117519378662109,18,18000,13,13,14,84
0.1111111111111111,54,0.3425741652124468,1.0,0.8146922588348389,9,18000,9,9,16,67
0.25,55,0.24902239458958889,1.0,0.7192026376724243,23,18000,4,4,8,81
0.16666666666666666,56,0.09641590990103985,1.0,0.7486165165901184,6,18000,6,6,15,78
0.1,57,0.8548819987399134,1.0,0.8408408164978027,27,18000,10,10,11,80
0.1111111111111111,58,0.40714218738216246,1.0,0.7990384697914124,9,18000,9,9,16,69
0.1111111111111111,59,0.7326264834281662,1.0,0.8324160575866699,16,18000,9,9,12,79
0.16666666666666666,60,0.21281470757587734,1.0,0.803909420967102,17,18000,6,6,10,85
0.1,61,1.0,1.0,0.7561566829681396,28,18000,10,10,10,67
0.14285714285714285,62,0.7824042501921893,0.9582688451594028,0.8006911873817444,26,18000,7,6,8,62
0.1,63,0.4894224924692016,1.0,0.5329617857933044,14,18000,10,10,12,76
0.1,64,0.46543682355976396,1.0,0.8407233357429504,0,18000,10,10,23,74
0.1111111111111111,65,0.5082481146445411,0.9986416793246634,0.7793300151824951,16,18000,9,8,12,61
0.125,66,0.25189618221604004,1.0,0.634747326374054,7,18000,8,8,15,81
0.08333333333333333,67,0.7067721725016998,1.0,0.8052829504013062,22,18000,12,12,13,76
0.1,68,0.8818361165398808,1.0,0.7877416014671326,27,18000,10,10,11,76
0.125,69,0.19131893434377797,0.9853139147894284,0.8287338018417358,7,18000,8,7,15,62
0.1,70,0.4387540720457013,1.0,0.7069921493530273,3,18000,10,10,18,86
0.1111111111111111,71,0.7791649472276679,0.9983439047057459,0.6395723819732666,20,18000,9,8,11,69
0.1,72,0.29232694348787747,1.0,0.8130027651786804,3,18000,10,10,18,63
0.125,73,0.6664874034334493,1.0,0.8949734568595886,25,18000,8,8,10,66
0.1111111111111111,74,0.9070128143815445,0.9967627822632348,0.8410265445709229,20,18000,9,8,11,70
0.14285714285714285,75,0.8038507497331431,1.0,0.8021904230117798,26,18000,7,7,8,60
0.16666666666666666,76,0.2687151371236781,1.0,0.8539357781410217,17,18000,6,6,10,71
0.14285714285714285,77,0.33826760578329146,1.0,0.7525204420089722,21,18000,7,7,10,72
0.1111111111111111,78,0.3077220475423735,1.0,0.7599776983261108,15,18000,9,9,15,83
0.1,79,0.7183421702323824,1.0,0.8350051641464233,27,18000,10,10,11,69
