category,first_action,pair_index,path_length,raw_tokens,source,stage2_count,step,stop_reached,target,target_index,tokens
SRC_MISMATCH,24,0,9,24 47 50 52 61 64 65 67,12,3,50000,1,67,8,12 24 47 50 52 61 64 65 67
SRC_MISMATCH,22,1,7,22 33 45 56 57 60,9,4,50000,1,60,6,9 22 33 45 56 57 60
SRC_MISMATCH_INVALID_EDGE,16,2,12,16 40 42 54 6 16 28 37 40 42 54,6,7,50000,1,88,,6 16 40 42 54 6 16 28 37 40 42 54
SRC_MISMATCH,24,3,5,24 34 66 68,11,1,50000,1,68,4,11 24 34 66 68
SRC_MISMATCH_INVALID_EDGE,38,4,6,38 43 47 74 75,21,3,50000,1,75,5,21 38 43 47 74 75
SRC_MISMATCH_NO_TARGET,17,5,4,17 42 45,1,2,50000,1,67,,1 17 42 45
SRC_MISMATCH_NO_TARGET,35,6,4,35 51 55,23,3,50000,1,74,,23 35 51 55
SRC_MISMATCH,42,7,4,42 53 87,19,2,50000,1,87,3,19 42 53 87
SRC_MISMATCH_INVALID_EDGE,37,8,5,37 54 58 71,5,3,50000,1,64,,5 37 54 58 71
SRC_MISMATCH,41,9,4,41 51 71,26,2,50000,1,71,3,26 41 51 71
SRC_MISMATCH_NO_TARGET,26,10,4,26 28 47,25,1,50000,1,70,,25 26 28 47
SRC_MISMATCH,42,11,5,42 63 66 69,17,1,50000,1,69,4,17 42 63 66 69
SRC_MISMATCH_NO_TARGET,33,12,3,33 48,20,2,50000,1,71,,20 33 48
SRC_MISMATCH_INVALID_EDGE,58,13,3,58 69,0,1,50000,1,69,2,0 58 69
SRC_MISMATCH_NO_TARGET,41,14,3,41 51,26,2,50000,1,65,,26 41 51
SRC_MISMATCH,57,15,3,57 66,2,1,50000,1,66,2,2 57 66
SRC_MISMATCH_NO_TARGET,28,16,3,28 38,26,1,50000,1,74,,26 28 38
SRC_MISMATCH_INVALID_EDGE,35,17,6,35 51 23 35 51,23,4,50000,1,89,,23 35 51 23 35 51
SRC_MISMATCH_NO_TARGET,9,18,4,9 22 38,7,1,50000,1,84,,7 9 22 38
SRC_MISMATCH_NO_TARGET,33,19,4,33 48 57,20,3,50000,1,80,,20 33 48 57
SRC_MISMATCH_INVALID_EDGE,24,20,8,24 36 41 14 18 36 41,14,4,50000,1,79,,14 24 36 41 14 18 36 41
SRC_MISMATCH_INVALID_EDGE,39,21,10,39 43 47 56 42 46 47 56 57,26,9,50000,1,61,,26 39 43 47 56 42 46 47 56 57
SRC_MISMATCH_NO_TARGET,47,22,4,47 50 52,18,3,50000,1,85,,18 47 50 52
SRC_MISMATCH,35,23,9,35 40 42 45 53 56 57 70,22,7,50000,1,70,8,22 35 40 42 45 53 56 57 70
SRC_MISMATCH_NO_TARGET,14,24,6,14 42 53 57 59,4,4,50000,1,68,,4 14 42 53 57 59
SRC_MISMATCH_INVALID_EDGE,33,25,11,33 48 57 60 53 57 60 64 65 68,20,5,50000,1,83,,20 33 48 57 60 53 57 60 64 65 68
SRC_MISMATCH,45,26,6,45 49 62 66 71,28,2,50000,1,71,5,28 45 49 62 66 71
SRC_MISMATCH_INVALID_EDGE,37,27,3,37 59,27,2,50000,1,78,,27 37 59
SRC_MISMATCH_INVALID_EDGE,26,28,5,26 28 74 82,16,0,50000,1,82,4,16 26 28 74 82
SRC_MISMATCH_INVALID_EDGE,63,29,5,63 66 72 78,29,0,50000,1,78,4,29 63 66 72 78
SRC_MISMATCH_INVALID_EDGE,80,30,3,80 83,2,0,50000,1,83,2,2 80 83
SRC_MISMATCH_NO_TARGET,15,31,10,15 29 36 41 46 55 60 63 66,10,4,50000,1,78,,10 15 29 36 41 46 55 60 63 66
SRC_MISMATCH_INVALID_EDGE,81,32,3,81 85,19,0,50000,1,85,2,19 81 85
SRC_MISMATCH,24,33,7,24 35 40 45 66 69,14,3,50000,1,69,6,14 24 35 40 45 66 69
SRC_MISMATCH,47,34,5,47 56 65 68,18,2,50000,1,68,4,18 47 56 65 68
SRC_MISMATCH,35,35,5,35 51 71 75,0,2,50000,1,75,4,0 35 51 71 75
SRC_MISMATCH_NO_TARGET,27,36,4,27 35 40,24,2,50000,1,66,,24 27 35 40
SRC_MISMATCH_NO_TARGET,30,37,2,30,13,1,50000,1,83,,13 30
SRC_MISMATCH_NO_TARGET,29,38,3,29 48,10,1,50000,1,71,,10 29 48
SRC_MISMATCH_NO_TARGET,16,39,4,16 28 38,9,1,50000,1,84,,9 16 28 38
SRC_MISMATCH_INVALID_EDGE,52,40,6,52 60 63 66 72,19,1,50000,1,72,5,19 52 60 63 66 72
SRC_MISMATCH_NO_TARGET,35,41,7,35 40 42 46 55 60,11,5,50000,1,61,,11 35 40 42 46 55 60
SRC_MISMATCH_INVALID_EDGE,5,42,4,5 13 82,3,0,50000,1,82,3,3 5 13 82
SRC_MISMATCH_INVALID_EDGE,11,43,9,11 36 4 11 17 18 25 31,4,2,50000,1,86,,4 11 36 4 11 17 18 25 31
SRC_MISMATCH,30,44,4,30 57 70,16,2,50000,1,70,3,16 30 57 70
SRC_MISMATCH_INVALID_EDGE,74,45,4,74 75 77,12,0,50000,1,77,3,12 74 75 77
SRC_MISMATCH_NO_TARGET,26,46,7,26 28 38 39 43 47,16,4,50000,1,81,,16 26 28 38 39 43 47
SRC_MISMATCH_INVALID_EDGE,11,47,9,11 36 4 11 17 18 25 31,4,2,50000,1,87,,4 11 36 4 11 17 18 25 31
SRC_MISMATCH_NO_TARGET,34,48,3,34 42,28,2,50000,1,78,,28 34 42
SRC_MISMATCH_NO_TARGET,24,49,4,24 47 50,21,2,50000,1,63,,21 24 47 50
SRC_MISMATCH_NO_TARGET,27,50,6,27 28 37 54 58,24,3,50000,1,64,,24 27 28 37 54 58
SRC_MISMATCH_INVALID_EDGE,33,51,8,33 51 1 15 22 33 51,1,4,50000,1,79,,1 33 51 1 15 22 33 51
SRC_MISMATCH_NO_TARGET,23,52,3,23 35,8,1,50000,1,60,,8 23 35
SRC_MISMATCH_INVALID_EDGE,42,53,5,42 71 75 84,18,1,50000,1,84,4,18 42 71 75 84
SRC_MISMATCH_INVALID_EDGE,16,54,10,16 30 32 40 9 13 19 32 40,9,5,50000,1,67,,9 16 30 32 40 9 13 19 32 40
SRC_MISMATCH_NO_TARGET,29,55,4,29 43 47,23,2,50000,1,81,,23 29 43 47
SRC_MISMATCH_NO_TARGET,7,56,4,7 23 35,6,1,50000,1,78,,6 7 23 35
