pair_index,prob_bridge_after_src,prob_continue_after_target,prob_eos_after_bridge,prob_eos_after_prompt,prob_eos_after_src,prob_eos_after_target,prob_src_repeat,prob_target_after_bridge,prob_target_direct_after_src,source,step,target
0,0.034209031611680984,7.867813110351562e-06,0.019839953631162643,5.493230315067876e-09,7.159636083997611e-08,0.9999921321868896,1.0744294343112415e-08,1.4478565901754337e-08,0.0001876052119769156,12,20000,67
1,0.00451838131994009,2.3126602172851562e-05,0.005948724690824747,3.003758664021916e-08,3.287210290636722e-07,0.9999768733978271,1.6013809727155603e-05,0.07167642563581467,3.5902147921262895e-09,9,20000,60
2,0.0002849999291356653,0.0,1.5662177247577347e-05,7.004092185525224e-05,2.8511501568573294e-06,1.0,0.0027419410180300474,0.0014830447034910321,3.398864282644354e-05,6,20000,88
3,0.48128825426101685,0.0,0.011737734079360962,1.1477652606117772e-06,2.0803863520768573e-08,1.0,3.9445797739290356e-08,2.5976176402764395e-05,4.2000894495686225e-07,11,20000,68
4,0.062422025948762894,0.0,0.509555459022522,2.145290454791393e-05,5.926508617193349e-09,1.0,4.3520044528122526e-06,8.785954378254246e-06,1.7392931113136e-06,21,20000,75
5,0.00013807664799969643,1.7881393432617188e-06,0.9233757257461548,5.666268043569289e-05,1.2552222869999241e-06,0.9999982118606567,0.0010089190909639,2.9748598535661586e-06,4.460897980607115e-05,1,20000,67
6,0.967942476272583,0.0,0.6110320091247559,0.0023392527364194393,1.9291464923298918e-05,1.0,4.8195968105346765e-08,1.4074166720945414e-08,2.098040931741707e-05,23,20000,74
7,0.8150017857551575,0.0,3.19774073886947e-08,0.0007750350632704794,0.0004752391541842371,1.0,1.1087352049798938e-06,0.01940014772117138,0.004360955208539963,19,20000,87
8,0.01192508079111576,1.1920928955078125e-07,0.9491704702377319,1.2451785096345702e-06,0.0008679945021867752,0.9999998807907104,0.00011150057980557904,4.706106171425972e-09,2.1096187907687636e-08,5,20000,64
9,0.024101460352540016,1.5497207641601562e-06,9.926670827553608e-06,0.0013332259841263294,0.002134658396244049,0.9999984502792358,0.00038328234222717583,0.37808942794799805,0.003765485482290387,26,20000,71
10,0.0023551268968731165,0.0,4.6235650188464206e-06,1.9496588787859537e-09,5.109353044818743e-12,1.0,1.303836683064219e-08,0.9998124241828918,4.9874954860529286e-11,25,20000,70
11,0.049688685685396194,1.1920928955078125e-07,0.7413377165794373,3.737861561603495e-06,2.99242528853938e-05,0.9999998807907104,6.0791113355662674e-05,3.0780014981246495e-07,1.274592705158284e-05,17,20000,69
12,0.8551803231239319,0.0,2.8452486731112003e-06,3.627561540042734e-08,6.666875833616359e-07,1.0,1.4597228982893284e-05,2.8114717220972807e-09,4.3768391688736585e-10,20,20000,71
13,0.009279876947402954,0.0,0.7427225708961487,1.3304997082741465e-05,5.021525339543587e-06,1.0,4.118323340662755e-05,0.0002213005645899102,0.8952695727348328,0,20000,69
14,0.1546402871608734,0.005217254161834717,0.07032078504562378,0.00624544732272625,0.013296129181981087,0.9947827458381653,1.3517073966795579e-05,0.07579591870307922,5.230750232954051e-08,26,20000,65
15,0.041215356439352036,0.0,2.0423376554390416e-05,1.1305319347343357e-08,3.54656104831208e-12,1.0,0.0015489262295886874,0.9992465972900391,0.00018680149514693767,2,20000,66
16,0.009938312694430351,8.940696716308594e-06,0.9839208126068115,0.0011726977536454797,0.0001363514893455431,0.9999910593032837,1.5826866217594215e-07,5.670488523179529e-09,3.6284376392359263e-07,26,20000,74
17,0.9931871891021729,0.0,0.5889586210250854,0.00014966182061471045,1.0176743217016337e-06,1.0,1.4019761692907196e-05,1.631713348615449e-05,3.878921052091755e-05,23,20000,89
18,0.02241954207420349,2.384185791015625e-07,0.9833399057388306,0.002490352839231491,7.3600626819825266e-06,0.9999997615814209,0.0020090024918317795,1.785663243936142e-07,2.118506745318882e-05,7,20000,84
19,0.9696159958839417,4.649162292480469e-06,0.9345729351043701,4.523679653090085e-09,2.9193176764863438e-09,0.9999953508377075,0.00016347014752682298,2.3423352502049966e-07,6.231514271348715e-05,20,20000,80
20,0.0057716672308743,7.152557373046875e-07,0.9913215041160583,1.2555105399769673e-08,2.026934566856653e-07,0.9999992847442627,0.0056832111440598965,1.547807642054977e-07,1.1613815464883714e-09,14,20000,79
21,0.04842855781316757,1.4424324035644531e-05,0.47422105073928833,0.00032744475174695253,0.0002202533942181617,0.9999855756759644,1.265667890493205e-07,0.0007992367027327418,2.8414956432243343e-07,26,20000,61
22,0.8488435745239258,0.0,0.0015997262671589851,2.6526029159867903e-06,3.2737130783999646e-09,1.0,2.5391104774286077e-09,4.750953394250246e-06,1.6487730292169545e-08,18,20000,85
23,0.7469621896743774,0.0,3.7399686334538274e-06,2.7445112209534273e-06,2.4126362063725537e-07,1.0,3.047078962481464e-07,0.9992840886116028,1.2377949332176286e-08,22,20000,70
24,0.20613278448581696,3.2186508178710938e-06,2.6712552880781004e-07,1.7628043735840038e-07,5.504027171809867e-07,0.9999967813491821,6.0236048739170656e-05,2.6661524099580447e-09,1.2116906873416156e-06,4,20000,68
25,0.816852331161499,0.0,0.1350134015083313,1.8663658118978077e-10,3.2371259006680475e-09,1.0,9.375755325891078e-06,2.688423421659536e-07,2.2795657028673588e-10,20,20000,83
26,0.8418030738830566,4.76837158203125e-07,1.4991074976933305e-06,1.40168913276284e-05,2.0992360077798367e-05,0.9999995231628418,4.4459138734964654e-05,2.496603428880917e-06,0.005693264305591583,28,20000,71
27,0.9824022650718689,2.384185791015625e-07,0.9946399331092834,3.52194362562841e-08,1.0582699587757816e-06,0.9999997615814209,1.2980606697965413e-05,8.756578573354545e-09,1.992239928583217e-09,27,20000,78
28,0.2428721785545349,1.1920928955078125e-07,0.18687400221824646,9.34066193281069e-08,7.775933141829228e-08,0.9999998807907104,0.0008974230731837451,3.4252305852744414e-11,3.871730950777419e-05,16,20000,82
29,0.997053861618042,4.76837158203125e-07,0.052541669458150864,0.00044815000728704035,1.9873639303114032e-06,0.9999995231628418,5.563161721511278e-06,1.219040535183069e-09,1.7522166672279127e-05,29,20000,78
30,0.04987826198339462,0.0,1.6457067930630842e-09,6.487153175749327e-11,5.893673049595094e-11,1.0,3.695884515764192e-05,5.1231314301958264e-08,4.633159551303834e-05,2,20000,83
31,7.127538265194744e-05,0.025621235370635986,0.00923466868698597,3.779697362915613e-05,8.039126697667598e-08,0.974378764629364,2.5553770683472976e-05,0.0008570089121349156,8.512277418049052e-06,10,20000,78
32,0.8642595410346985,0.0,0.9938132762908936,0.0016368944197893143,6.7503169702831656e-06,1.0,5.075414222233121e-08,8.023887110297778e-11,0.0006161619094200432,19,20000,85
33,0.00026621148572303355,0.0,5.10012476695465e-08,1.8043723182259441e-09,1.1249708803395819e-10,1.0,0.0005929744802415371,5.150142897036858e-05,2.6553635734671843e-07,14,20000,69
34,0.8065648078918457,0.0,0.0008681617910042405,4.436365270521492e-05,5.218963678998989e-07,1.0,1.820759365500635e-08,3.5367800137464656e-06,1.3400916031969246e-05,18,20000,68
35,0.7253786325454712,1.430511474609375e-06,0.18136732280254364,3.678691484765295e-07,0.005574805662035942,0.9999985694885254,3.287792424089275e-05,0.0002506258024368435,0.010593383572995663,0,20000,75
36,0.3558224141597748,2.849102020263672e-05,0.012647006660699844,1.4273507076723035e-05,7.835900032659993e-05,0.9999715089797974,0.015055992640554905,0.0022243584971874952,6.155258525097906e-10,24,20000,66
37,0.06736791133880615,0.0,0.02993735298514366,5.3876560741628055e-06,0.008156639523804188,1.0,0.000309961469611153,0.018595175817608833,6.649602255492937e-07,13,20000,83
