avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,decomposition_chain_rate,eventA_prime_rate,eventA_prime_total,eventA_rate,eventA_total,eventB_prime_rate_given_A,eventB_prime_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_prime_rate_given_AB,eventC_prime_total,eventC_rate_given_AB,eventC_success,eventC_total,eventD_prime_rate_given_ABC,eventD_prime_total,eventD_rate_given_ABC,eventD_success,eventD_total,execution_chain_rate,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_NO_STOP,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_NO_STOP,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
27.406666666666666,1.0,450,1.9244444444444444,2.0,0,0,0,1.0,450,0,0,1.0,1.0,450,450,450,450,0,0,1.0,450,450,0,0,0.5711111111111111,257,450,0,0.5711111111111111,0.5155555555555555,232,0.0,0,0.0,0,1.0,1.511111111111111,1.0,450,0.5155555555555555,232,1.0,450,1.0,450,1.0,450,22,428,0,0.04888888888888889,0.9511111111111111,0,0.0,0,0.0,0,1.0,450,0.5711111111111111,257,2000,0.0,0.5711111111111111,257,257,0,0,s1s3,450,1.0,450
0,0,0,0,0,0.0,1.0,296,0,0,1.0,296,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,296,0.0,0,15,281,0,0.05067567567567568,0.9493243243243243,0,0.0,0,0.0,0,0,0,0.0,0,2000,0,0.0,0,0,0,0,s1s2,296,0,0
0,0,0,0,0,0,0,0,0.946843853820598,285,0,0,0.9964912280701754,0,0,0,284,0,0,0,0.5105633802816901,0,145,0,0,0,0,0,0.48172757475083056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9966777408637874,300,0.0,0,20,280,1,0.0664451827242525,0.9302325581395349,0.0033222591362126247,0.0,0,0.0033222591362126247,1,0,0,0.48172757475083056,145,2000,0,0.48172757475083056,145,0,0,0,s2s3,301,0,0
27.406666666666666,1.0,450,1.8222222222222222,2.0,0,0,0,1.0,450,0,0,1.0,1.0,450,450,450,450,0,0,1.0,450,450,0,0,0.96,432,450,0,0.96,0.52,234,0.0,0,0.0,0,1.0,1.54,1.0,450,0.52,234,1.0,450,1.0,450,1.0,450,0,450,0,0,1.0,0,0.0,0,0.0,0,1.0,450,0.96,432,4000,0.0,0.96,432,432,0,0,s1s3,450,1.0,450
0,0,0,0,0,0.0,1.0,296,0,0,1.0,296,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,296,0.0,0,0,296,0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,4000,0,0.0,0,0,0,0,s1s2,296,0,0
0,0,0,0,0,0,0,0,0.9700996677740864,292,0,0,1.0,0,0,0,292,0,0,0,0.9726027397260274,0,284,0,0,0,0,0,0.9435215946843855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,301,0.0,0,0,301,0,0,1.0,0,0.0,0,0.0,0,0,0,0.9435215946843853,284,4000,0,0.9435215946843853,284,0,0,0,s2s3,301,0,0
27.406666666666666,1.0,450,1.8311111111111111,1.0,0,0,0,1.0,450,0,0,1.0,1.0,450,450,450,450,0,0,1.0,450,450,0,0,1.0,450,450,0,1.0,0.39555555555555555,178,0.0,0,0.0,0,1.0,1.731111111111111,2.0,450,0.39555555555555555,178,1.0,450,1.0,450,1.0,450,0,450,0,0,1.0,0,0.0,0,0.0,0,1.0,450,1.0,450,6000,0.0,1.0,450,450,0,0,s1s3,450,1.0,450
0,0,0,0,0,0.0,1.0,296,0,0,1.0,296,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,296,0.0,0,0,296,0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,6000,0,0.0,0,0,0,0,s1s2,296,0,0
0,0,0,0,0,0,0,0,0.9900332225913622,298,0,0,1.0,0,0,0,298,0,0,0,1.0,0,298,0,0,0,0,0,0.9900332225913622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,301,0.0,0,0,301,0,0,1.0,0,0.0,0,0.0,0,0,0,0.9900332225913622,298,6000,0,0.9900332225913622,298,0,0,0,s2s3,301,0,0
27.406666666666666,0.9977777777777778,449,1.7505567928730512,1.0,0,0,0,1.0,450,0,0,0.9977777777777778,0.9977777777777778,449,449,450,450,0,0,1.0,449,449,0,0,0.9977728285077951,448,449,0,0.9955555555555555,0.5555555555555556,250,0.0,0,0.0,0,0.9977777777777778,1.52,1.0,449,0.5577777777777778,251,1.0,450,1.0,450,1.0,450,0,450,0,0,1.0,0,0.0,0,0.0,0,0.9977777777777778,449,0.9955555555555555,448,8000,0.0,0.9955555555555555,448,448,0,0,s1s3,450,1.0,450
0,0,0,0,0,0.0,1.0,296,0,0,1.0,296,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,296,0.0,0,0,296,0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,8000,0,0.0,0,0,0,0,s1s2,296,0,0
0,0,0,0,0,0,0,0,0.9933554817275747,299,0,0,1.0,0,0,0,299,0,0,0,1.0,0,299,0,0,0,0,0,0.9933554817275747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,301,0.0,0,0,301,0,0,1.0,0,0.0,0,0.0,0,0,0,0.9933554817275747,299,8000,0,0.9933554817275747,299,0,0,0,s2s3,301,0,0
27.406666666666666,0.9955555555555555,448,1.5022321428571428,1.0,0,0,0,1.0,450,0,0,0.9955555555555555,0.9955555555555555,448,448,450,450,0,0,1.0,448,448,0,0,0.9955357142857143,446,448,0,0.991111111111111,0.5488888888888889,247,0.0,0,0.0,0,0.9955555555555555,1.4866666666666666,1.0,448,0.5511111111111111,248,1.0,450,1.0,450,1.0,450,0,450,0,0,1.0,0,0.0,0,0.0,0,0.9955555555555555,448,0.9911111111111112,446,10000,1.1102230246251565e-16,0.9911111111111112,446,446,0,0,s1s3,450,1.0,450
