avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_hit_nonfirst_total,eventA_rate,eventA_rate_given_available,eventA_total,eventA_total_available,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_rate_given_AB_and_available,eventC_success,eventC_success_available,eventC_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_non_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,stage2_available_rate,stage2_available_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,total_pairs,used_stage2_rate,used_stage2_total
27.406666666666666,0.94,423,0,0.94,0.94,423,423,1.0,1.0,423,423,423,423,0.789598108747045,0.789598108747045,334,334,423,0.7422222222222222,0.45111111111111113,203,0.015555555555555555,7,0.05555555555555555,25,1.0,1.657210401891253,2.0,423,0,0.45555555555555555,205,0.9444444444444444,425,1.0,450,2000,0.0,0.7422222222222222,334,334,0,0,450,0.94,423
27.406666666666666,0.9533333333333334,429,0,0.9533333333333334,0.9533333333333334,429,429,1.0,1.0,429,429,429,429,0.9090909090909091,0.9090909090909091,390,390,429,0.8666666666666667,0.34,153,0.006666666666666667,3,0.03777777777777778,17,1.0,1.8414918414918415,2.0,429,0,0.34444444444444444,155,0.9622222222222222,433,1.0,450,4000,0.0,0.8666666666666667,390,390,0,0,450,0.9533333333333334,429
27.406666666666666,0.9377777777777778,422,0,0.9377777777777778,0.9377777777777778,422,422,1.0,1.0,422,422,422,422,0.8957345971563981,0.8957345971563981,378,378,422,0.8400000000000001,0.30666666666666664,138,0.013333333333333334,6,0.04888888888888889,22,1.0,1.995260663507109,2.0,422,0,0.3088888888888889,139,0.9511111111111111,428,1.0,450,6000,-1.1102230246251565e-16,0.84,378,378,0,0,450,0.9377777777777778,422
27.406666666666666,0.94,423,0,0.94,0.94,423,423,1.0,1.0,423,423,423,423,0.8912529550827423,0.8912529550827423,377,377,423,0.8377777777777777,0.30666666666666664,138,0.008888888888888889,4,0.04,18,1.0,2.059101654846336,2.0,423,0,0.3088888888888889,139,0.96,432,1.0,450,8000,0.0,0.8377777777777777,377,377,0,0,450,0.94,423
27.406666666666666,0.9377777777777778,422,0,0.9377777777777778,0.9377777777777778,422,422,1.0,1.0,422,422,422,422,0.9052132701421801,0.9052132701421801,382,382,422,0.8488888888888889,0.2577777777777778,116,0.008888888888888889,4,0.035555555555555556,16,1.0,2.2085308056872037,2.0,422,0,0.2577777777777778,116,0.9644444444444444,434,1.0,450,10000,0.0,0.8488888888888889,382,382,0,0,450,0.9377777777777778,422
27.406666666666666,0.9444444444444444,425,0,0.9444444444444444,0.9444444444444444,425,425,1.0,1.0,425,425,425,425,0.9058823529411765,0.9058823529411765,385,385,425,0.8555555555555555,0.3111111111111111,140,0.013333333333333334,6,0.04,18,1.0,2.0776470588235294,2.0,425,0,0.3111111111111111,140,0.96,432,1.0,450,12000,0.0,0.8555555555555555,385,385,0,0,450,0.9444444444444444,425
27.406666666666666,0.9488888888888889,427,0,0.9488888888888889,0.9488888888888889,427,427,1.0,1.0,427,427,427,427,0.9180327868852459,0.9180327868852459,392,392,427,0.8711111111111112,0.3288888888888889,148,0.015555555555555555,7,0.035555555555555556,16,1.0,2.0421545667447307,2.0,427,0,0.3288888888888889,148,0.9644444444444444,434,1.0,450,14000,-1.1102230246251565e-16,0.8711111111111111,392,392,0,0,450,0.9488888888888889,427
27.406666666666666,0.94,423,0,0.94,0.94,423,423,1.0,1.0,423,423,423,423,0.91725768321513,0.91725768321513,388,388,423,0.8622222222222221,0.28,126,0.013333333333333334,6,0.03333333333333333,15,1.0,2.226950354609929,2.0,423,0,0.28,126,0.9666666666666667,435,1.0,450,16000,1.1102230246251565e-16,0.8622222222222222,388,388,0,0,450,0.94,423
27.406666666666666,0.9444444444444444,425,0,0.9444444444444444,0.9444444444444444,425,425,1.0,1.0,425,425,425,425,0.92,0.92,391,391,425,0.8688888888888889,0.30444444444444446,137,0.015555555555555555,7,0.035555555555555556,16,1.0,2.1788235294117646,2.0,425,0,0.30444444444444446,137,0.9644444444444444,434,1.0,450,18000,0.0,0.8688888888888889,391,391,0,0,450,0.9444444444444444,425
27.406666666666666,0.9555555555555556,430,0,0.9555555555555556,0.9555555555555556,430,430,1.0,1.0,430,430,430,430,0.9255813953488372,0.9255813953488372,398,398,430,0.8844444444444445,0.32666666666666666,147,0.017777777777777778,8,0.035555555555555556,16,1.0,2.1372093023255814,2.0,430,0,0.32666666666666666,147,0.9644444444444444,434,1.0,450,20000,0.0,0.8844444444444445,398,398,0,0,450,0.9555555555555556,430
