decomposition_chain_rate,eventA_prime_rate,eventA_prime_total,eventB_prime_rate_given_A,eventB_prime_total,eventC_prime_rate_given_AB,eventC_prime_total,eventD_prime_rate_given_ABC,eventD_prime_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_CLEAN_SUCCESS,stage2_stop_reason_count_STOP_WITH_INVALID_EDGE,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_count_STOP_WITH_OVER_SHOOT,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_CLEAN_SUCCESS,stage2_stop_reason_rate_STOP_WITH_INVALID_EDGE,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_STOP_WITH_OVER_SHOOT,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_rate,success_total,task_type,total_pairs
0.0033783783783783786,1.0,296,1.0,296,0.030405405405405407,9,0.1111111111111111,1,0.9695945945945946,287,0.0,0,287,1,1,7,0,0.9695945945945946,0.0033783783783783786,0.0033783783783783786,0.02364864864864865,0,0.0033783783783783786,1,0.030405405405405407,9,0.0,0,5000,0.0033783783783783786,1,s1s2,296
0.0,0.9695945945945946,287,1.0,287,0.020905923344947737,6,0.0,0,0.9797297297297297,290,0.0,0,290,0,1,5,0,0.9797297297297297,0,0.0033783783783783786,0.016891891891891893,0,0.0,0,0.02027027027027027,6,0.0,0,10000,0.0,0,s1s2,296
0.0,0.9425675675675675,279,1.0,279,0.017921146953405017,5,0.0,0,0.9763513513513513,289,0.0,0,289,0,2,5,0,0.9763513513513513,0,0.006756756756756757,0.016891891891891893,0,0.0,0,0.02364864864864865,7,0.0,0,15000,0.0,0,s1s2,296
0.0,0.9391891891891891,278,1.0,278,0.014388489208633094,4,0.0,0,0.9864864864864865,292,0.0,0,292,0,0,4,0,0.9864864864864865,0,0,0.013513513513513514,0,0.0,0,0.013513513513513514,4,0.0,0,20000,0.0,0,s1s2,296
0.0,0.9155405405405406,271,0.992619926199262,269,0.022304832713754646,6,0.0,0,0.9797297297297297,290,0.0,0,290,0,0,6,0,0.9797297297297297,0,0,0.02027027027027027,0,0.0,0,0.02027027027027027,6,0.0,0,25000,0.0,0,s1s2,296
0.0,0.902027027027027,267,0.9887640449438202,264,0.03409090909090909,9,0.0,0,0.9628378378378378,285,0.0,0,285,0,2,9,0,0.9628378378378378,0,0.006756756756756757,0.030405405405405407,0,0.0,0,0.037162162162162164,11,0.0,0,30000,0.0,0,s1s2,296
0.0,0.8986486486486487,266,0.9962406015037594,265,0.03773584905660377,10,0.0,0,0.9662162162162162,286,0.0,0,286,0,4,6,0,0.9662162162162162,0,0.013513513513513514,0.02027027027027027,0,0.0,0,0.033783783783783786,10,0.0,0,35000,0.0,0,s1s2,296
0.0,0.8817567567567568,261,0.9961685823754789,260,0.023076923076923078,6,0.0,0,0.9797297297297297,290,0.0,0,290,0,1,4,1,0.9797297297297297,0,0.0033783783783783786,0.013513513513513514,0.0033783783783783786,0.0,0,0.02027027027027027,6,0.0,0,40000,0.0,0,s1s2,296
0.0,0.8885135135135135,263,1.0,263,0.011406844106463879,3,0.0,0,0.9864864864864865,292,0.0,0,292,0,2,2,0,0.9864864864864865,0,0.006756756756756757,0.006756756756756757,0,0.0,0,0.013513513513513514,4,0.0,0,45000,0.0,0,s1s2,296
0.0,0.8817567567567568,261,1.0,261,0.01532567049808429,4,0.0,0,0.9797297297297297,290,0.0,0,290,0,5,1,0,0.9797297297297297,0,0.016891891891891893,0.0033783783783783786,0,0.0,0,0.02027027027027027,6,0.0,0,50000,0.0,0,s1s2,296
