decomposition_chain_rate,eventA_prime_rate,eventA_prime_total,eventB_prime_rate_given_A,eventB_prime_total,eventC_prime_rate_given_AB,eventC_prime_total,eventD_prime_rate_given_ABC,eventD_prime_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_NO_STOP,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_INVALID_EDGE,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_NO_STOP,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_INVALID_EDGE,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_rate,success_total,task_type,total_pairs
0.0,1.0,89,1.0,89,0.0,0,0.0,0,1.0,89,0.0,0,0,89,0,0,0,1.0,0,0,0.0,0,0.0,0,0.0,0,5000,0.0,0,s1s2,89
0.0,1.0,89,1.0,89,0.033707865168539325,3,0.0,0,0.9662921348314607,86,0.0,0,0,86,1,2,0,0.9662921348314607,0.011235955056179775,0.02247191011235955,0.0,0,0.033707865168539325,3,0.0,0,10000,0.0,0,s1s2,89
0.0,0.9550561797752809,85,1.0,85,0.011764705882352941,1,0.0,0,0.9887640449438202,88,0.0,0,0,88,0,1,0,0.9887640449438202,0,0.011235955056179775,0.0,0,0.011235955056179775,1,0.0,0,15000,0.0,0,s1s2,89
0.0,1.0,89,1.0,89,0.011235955056179775,1,0.0,0,0.9887640449438202,88,0.0,0,0,88,1,0,0,0.9887640449438202,0.011235955056179775,0,0.0,0,0.011235955056179775,1,0.0,0,20000,0.0,0,s1s2,89
0.0,0.9662921348314607,86,1.0,86,0.0,0,0.0,0,1.0,89,0.0,0,0,89,0,0,0,1.0,0,0,0.0,0,0.0,0,0.0,0,25000,0.0,0,s1s2,89
0.0,0.9662921348314607,86,1.0,86,0.0,0,0.0,0,1.0,89,0.0,0,0,89,0,0,0,1.0,0,0,0.0,0,0.0,0,0.0,0,30000,0.0,0,s1s2,89
0.0,0.9550561797752809,85,1.0,85,0.0,0,0.0,0,1.0,89,0.0,0,0,89,0,0,0,1.0,0,0,0.0,0,0.0,0,0.0,0,35000,0.0,0,s1s2,89
0.0,0.9438202247191011,84,1.0,84,0.0,0,0.0,0,0.9887640449438202,88,0.0,0,1,88,0,0,0.011235955056179775,0.9887640449438202,0,0,0.0,0,0.0,0,0.0,0,40000,0.0,0,s1s2,89
0.0,0.9325842696629213,83,1.0,83,0.012048192771084338,1,0.0,0,0.9662921348314607,86,0.0,0,1,86,1,1,0.011235955056179775,0.9662921348314607,0.011235955056179775,0.011235955056179775,0.0,0,0.02247191011235955,2,0.0,0,45000,0.0,0,s1s2,89
0.0,0.9550561797752809,85,1.0,85,0.023529411764705882,2,0.0,0,0.9550561797752809,85,0.0,0,2,85,2,0,0.02247191011235955,0.9550561797752809,0.02247191011235955,0,0.0,0,0.02247191011235955,2,0.0,0,50000,0.0,0,s1s2,89
