source,target,category,num_paths,selected
0,35,P0,21,1
0,36,P0,21,1
0,38,P0,20,1
0,39,P0,21,1
0,40,P0,21,1
0,41,P0,21,1
0,42,P0,20,1
0,43,P0,21,1
0,44,P0,20,1
0,46,P0,20,1
0,47,P0,21,1
0,48,P0,20,1
0,50,P0,21,1
0,52,P0,21,1
0,53,P0,20,1
0,54,P0,20,1
0,56,P0,21,1
0,58,P0,20,1
0,59,P0,20,1
0,60,P13,20,0
0,63,P13,20,0
0,65,P13,20,0
0,66,P13,20,0
0,67,P13,20,0
0,68,P13,20,0
0,70,P13,20,0
0,73,P13,20,0
0,76,P13,20,0
0,77,P13,20,0
0,78,P13,20,0
0,79,P13,20,0
0,80,P13,20,0
0,82,P13,20,0
0,83,P13,20,0
0,84,P13,20,0
0,87,P13,20,0
0,88,P13,20,0
1,30,P0,21,1
1,31,P0,20,1
1,32,P0,21,1
1,33,P0,20,1
1,34,P0,20,1
1,36,P0,20,1
1,38,P0,20,1
1,39,P0,20,1
1,41,P0,20,1
1,42,P0,20,1
1,43,P0,20,1
1,44,P0,21,1
1,45,P0,20,1
1,49,P0,20,1
1,50,P0,21,1
1,51,P0,21,1
1,52,P0,20,1
1,55,P0,21,1
1,56,P0,20,1
1,58,P0,21,1
1,60,P13,20,0
1,61,P13,20,0
1,62,P13,20,0
1,64,P13,20,0
1,65,P13,20,0
1,68,P13,20,0
1,69,P13,20,0
1,72,P13,20,0
1,73,P13,20,0
1,75,P13,20,0
1,78,P13,20,0
1,80,P13,20,0
1,81,P13,20,0
1,83,P13,20,0
1,86,P13,20,0
1,88,P13,20,0
1,89,P13,20,0
10,31,P0,20,1
10,33,P0,21,1
10,34,P0,21,1
10,36,P0,20,1
10,38,P0,20,1
10,39,P0,20,1
10,40,P0,20,1
10,42,P0,20,1
10,43,P0,21,1
10,44,P0,20,1
10,47,P0,20,1
10,48,P0,21,1
10,49,P0,21,1
10,50,P0,21,1
10,52,P0,20,1
10,53,P0,21,1
10,57,P0,20,1
10,59,P0,20,1
10,61,P13,20,0
10,62,P13,20,0
10,67,P13,20,0
10,68,P13,20,0
10,75,P13,20,0
10,76,P13,20,0
10,79,P13,20,0
10,80,P13,20,0
10,86,P13,20,0
10,87,P13,20,0
11,30,P0,21,1
11,31,P0,20,1
11,35,P0,21,1
11,36,P0,21,1
11,37,P0,21,1
11,38,P0,21,1
11,39,P0,20,1
11,41,P0,21,1
11,42,P0,20,1
11,43,P0,21,1
11,44,P0,20,1
11,47,P0,20,1
11,51,P0,20,1
11,52,P0,21,1
11,55,P0,20,1
11,56,P0,21,1
11,57,P0,20,1
11,58,P0,21,1
11,59,P0,20,1
11,63,P13,20,0
11,64,P13,20,0
11,65,P13,20,0
11,72,P13,20,0
11,73,P13,20,0
11,74,P13,20,0
11,75,P13,20,0
11,79,P13,20,0
11,80,P13,20,0
11,84,P13,20,0
11,85,P13,20,0
11,87,P13,20,0
11,89,P13,20,0
12,31,P0,20,1
12,32,P0,20,1
12,37,P0,20,1
12,38,P0,20,1
12,39,P0,20,1
12,41,P0,20,1
12,42,P0,21,1
12,44,P0,21,1
12,45,P0,20,1
12,47,P0,21,1
12,48,P0,20,1
12,49,P0,20,1
12,50,P0,21,1
12,51,P0,20,1
12,54,P0,20,1
12,56,P0,20,1
12,57,P0,21,1
12,58,P0,20,1
12,59,P0,20,1
12,61,P13,20,0
12,62,P13,20,0
12,63,P13,20,0
12,64,P13,20,0
12,65,P13,20,0
12,66,P13,20,0
12,68,P13,20,0
12,71,P13,20,0
12,72,P13,20,0
12,73,P13,20,0
12,74,P13,20,0
12,75,P13,20,0
12,76,P13,20,0
12,78,P13,20,0
12,79,P13,20,0
12,80,P13,20,0
12,82,P13,20,0
12,84,P13,20,0
12,85,P13,20,0
12,87,P13,20,0
12,88,P13,20,0
13,30,P0,21,1
13,31,P0,21,1
13,34,P0,20,1
13,35,P0,20,1
13,37,P0,20,1
13,39,P0,21,1
13,40,P0,20,1
13,41,P0,20,1
13,42,P0,21,1
13,44,P0,20,1
13,45,P0,20,1
13,46,P0,20,1
13,47,P0,21,1
13,48,P0,20,1
13,50,P0,20,1
13,51,P0,20,1
13,53,P0,20,1
13,55,P0,20,1
13,56,P0,21,1
13,58,P0,20,1
13,59,P0,20,1
13,63,P13,20,0
13,64,P13,20,0
13,66,P13,20,0
13,69,P13,20,0
13,70,P13,20,0
13,71,P13,20,0
13,72,P13,20,0
13,73,P13,20,0
13,74,P13,20,0
13,75,P13,20,0
13,76,P13,20,0
13,78,P13,20,0
13,81,P13,20,0
13,84,P13,20,0
13,85,P13,20,0
13,86,P13,20,0
14,32,P0,20,1
14,34,P0,21,1
14,36,P0,20,1
14,37,P0,20,1
14,38,P0,21,1
14,40,P0,21,1
14,42,P0,21,1
14,43,P0,21,1
14,45,P0,21,1
14,46,P0,20,1
14,49,P0,20,1
14,50,P0,20,1
14,52,P0,21,1
14,53,P0,21,1
14,54,P0,21,1
14,55,P0,20,1
14,57,P0,20,1
14,58,P0,20,1
14,59,P0,21,1
14,62,P13,20,0
14,67,P13,20,0
14,68,P13,20,0
14,70,P13,20,0
14,71,P13,20,0
14,73,P13,20,0
14,77,P13,20,0
14,78,P13,20,0
14,80,P13,20,0
14,83,P13,20,0
14,85,P13,20,0
14,87,P13,20,0
15,32,P0,20,1
15,33,P0,20,1
15,38,P0,21,1
15,39,P0,21,1
15,40,P0,20,1
15,41,P0,21,1
15,42,P0,20,1
15,43,P0,21,1
15,44,P0,21,1
15,45,P0,21,1
15,47,P0,20,1
15,49,P0,20,1
15,51,P0,21,1
15,52,P0,21,1
15,53,P0,20,1
15,54,P0,20,1
15,57,P0,20,1
15,58,P0,20,1
15,59,P0,21,1
15,65,P13,20,0
15,66,P13,20,0
15,68,P13,20,0
15,69,P13,20,0
15,70,P13,20,0
15,73,P13,20,0
15,78,P13,20,0
15,79,P13,20,0
15,81,P13,20,0
15,84,P13,20,0
15,87,P13,20,0
15,88,P13,20,0
16,30,P0,21,1
16,32,P0,20,1
16,34,P0,21,1
16,36,P0,21,1
16,37,P0,20,1
16,38,P0,20,1
16,39,P0,20,1
16,40,P0,21,1
16,42,P0,20,1
16,43,P0,21,1
16,44,P0,20,1
16,47,P0,21,1
16,48,P0,20,1
16,50,P0,21,1
16,51,P0,20,1
16,52,P0,21,1
16,53,P0,20,1
16,58,P0,20,1
16,59,P0,21,1
16,65,P13,20,0
16,66,P13,20,0
16,67,P13,20,0
16,68,P13,20,0
16,71,P13,20,0
16,72,P13,20,0
16,73,P13,20,0
16,77,P13,20,0
16,78,P13,20,0
16,80,P13,20,0
16,84,P13,20,0
16,86,P13,20,0
16,88,P13,20,0
17,31,P0,20,1
17,34,P0,21,1
17,35,P0,20,1
17,37,P0,20,1
17,40,P0,21,1
17,41,P0,20,1
17,42,P0,21,1
17,43,P0,20,1
17,44,P0,20,1
17,46,P0,20,1
17,50,P0,20,1
17,51,P0,21,1
17,52,P0,20,1
17,53,P0,21,1
17,55,P0,21,1
17,56,P0,20,1
17,58,P0,20,1
17,59,P0,20,1
17,61,P13,20,0
17,65,P13,20,0
17,66,P13,20,0
17,68,P13,20,0
17,72,P13,20,0
17,73,P13,20,0
17,74,P13,20,0
17,77,P13,20,0
17,78,P13,20,0
17,79,P13,20,0
17,82,P13,20,0
17,83,P13,20,0
17,84,P13,20,0
17,86,P13,20,0
17,89,P13,20,0
18,32,P0,21,1
18,33,P0,21,1
18,34,P0,21,1
18,36,P0,21,1
18,37,P0,21,1
18,38,P0,20,1
18,39,P0,20,1
18,42,P0,21,1
18,44,P0,20,1
18,47,P0,21,1
18,48,P0,20,1
18,49,P0,21,1
18,50,P0,21,1
18,52,P0,21,1
18,53,P0,21,1
18,54,P0,21,1
18,55,P0,20,1
18,57,P0,20,1
18,59,P0,21,1
18,60,P13,20,0
18,61,P13,20,0
18,62,P13,20,0
18,65,P13,20,0
18,67,P13,20,0
18,69,P13,20,0
18,70,P13,20,0
18,73,P13,20,0
18,78,P13,20,0
18,79,P13,20,0
18,80,P13,20,0
18,81,P13,20,0
18,87,P13,20,0
18,88,P13,20,0
18,89,P13,20,0
19,31,P0,20,1
19,32,P0,21,1
19,33,P0,21,1
19,37,P0,20,1
19,40,P0,21,1
19,41,P0,20,1
19,42,P0,21,1
19,44,P0,21,1
19,45,P0,21,1
19,46,P0,21,1
19,48,P0,20,1
19,49,P0,20,1
19,50,P0,20,1
19,51,P0,20,1
19,52,P0,20,1
19,54,P0,21,1
19,55,P0,21,1
19,56,P0,20,1
19,58,P0,21,1
19,59,P0,20,1
19,60,P13,20,0
19,62,P13,20,0
19,63,P13,20,0
19,65,P13,20,0
19,67,P13,20,0
19,68,P13,20,0
19,69,P13,20,0
19,70,P13,20,0
19,71,P13,20,0
19,73,P13,20,0
19,74,P13,20,0
19,78,P13,20,0
19,81,P13,20,0
19,82,P13,20,0
19,84,P13,20,0
19,88,P13,20,0
2,30,P0,21,1
2,31,P0,20,1
2,32,P0,21,1
2,33,P0,20,1
2,34,P0,20,1
2,35,P0,21,1
2,38,P0,21,1
2,39,P0,21,1
2,41,P0,21,1
2,44,P0,21,1
2,45,P0,20,1
2,46,P0,20,1
2,48,P0,20,1
2,49,P0,21,1
2,50,P0,21,1
2,53,P0,21,1
2,54,P0,20,1
2,55,P0,20,1
2,56,P0,21,1
2,57,P0,21,1
2,58,P0,21,1
2,60,P13,20,0
2,62,P13,20,0
2,63,P13,20,0
2,64,P13,20,0
2,65,P13,20,0
2,67,P13,20,0
2,68,P13,20,0
2,69,P13,20,0
2,74,P13,20,0
2,77,P13,20,0
2,78,P13,20,0
2,79,P13,20,0
2,81,P13,20,0
2,84,P13,20,0
2,85,P13,20,0
2,86,P13,20,0
2,88,P13,20,0
2,89,P13,20,0
20,31,P0,21,1
20,33,P0,21,1
20,34,P0,20,1
20,37,P0,21,1
20,39,P0,20,1
20,40,P0,21,1
20,41,P0,21,1
20,43,P0,21,1
20,46,P0,20,1
20,49,P0,21,1
20,52,P0,20,1
20,53,P0,20,1
20,57,P0,21,1
20,58,P0,20,1
20,59,P0,21,1
20,64,P13,20,0
20,65,P13,20,0
20,66,P13,20,0
20,75,P13,20,0
20,76,P13,20,0
20,77,P13,20,0
20,82,P13,20,0
20,85,P13,20,0
20,86,P13,20,0
20,87,P13,20,0
20,88,P13,20,0
20,89,P13,20,0
21,32,P0,21,1
21,34,P0,21,1
21,35,P0,20,1
21,37,P0,20,1
21,39,P0,20,1
21,40,P0,20,1
21,42,P0,20,1
21,45,P0,20,1
21,46,P0,20,1
